Settlements.Settlement.text.village_DG2_2	Нібы мурашнік, Гітгірт пакрыты малымі адтулінамі ў схіле гары, празь якія сотні гоблінаў могуць нападаць з усіх бакоў. Дварфы шмат разоў спрабавалі зьнішчыць гэтую велізарную цьвярдыню, але падчас аблогаў толькі стваралі новыя дзіркі.
Settlements.Settlement.text.castle_DG1	Мэнаготы былі старажытным ваяўнічым племенем людзей-варвараў, што насялялі землі былога Солянду, і непасрэднымі продкамі ягонага народу. На Мэнагоцкім Узгорку мноства старажытных магілаў. Падчас Вампірскіх войнаў яго захапіў безыменны вампір. Пазьней Солянд вярнуў узгорак, але ўжо наступным годам яго адабралі оркі з Шэрых Гораў.
Settlements.Settlement.text.castle_village_DG1_1	Цяпер разбураны Гогенбург збудавалі на падмурках старажытнага замку. Жыхары бараніліся ад пагрозаў з Атэль Лорэну й не чакалі нападу зялёнаскурых з боку гораў, бо там заўсёды жылі дварфы. Цяпер тут лягер для набегаў, зь якога ваўчыныя вершнікі атакуюць лес.
Settlements.Settlement.text.castle_village_DG1_2	Калісьці вядомая як Ратхоф, Пацучча Нара была адной зь вёсак, што перажылі вялікі ВАААГХ! Горбада Жалезнага Кіпцюра. Але пошасьць зьнішчыла ўраджай і большасьць жыхароў, таму солянды ўцяклі, пакінуўшы вёску.
Settlements.Settlement.text.castle_DG2	Золь — бог сонца ў пантэоне Старога Сьвету, якога асабліва шануюць у Вісэнляндзе. У старажытнасьці мэнаготы славілі яго як бога помсты, таму некаторыя навукоўцы лічаць яго ўвасабленьнем Золкана. Гэтае старажытнае сьвятое збудаваньне зялёнаскурыя захапілі падчас зьнішчэньня Солянду; з тых часоў храм так і не вярнулі.
Settlements.Settlement.text.castle_village_DG2_1	Гэтая старая дварфская капальня, поўная жалезнай руды, цяпер належыць зялёнаскурым, якія выкарыстоўваюць жалеза дзеля сваіх жорсткіх мэтаў.
Settlements.Settlement.text.castle_village_DG2_2	Калісьці вёску славілі за стойкую абарону ад зялёнаскурых з Шэрых Гораў. Але тыя вярнуліся ўдвая большым войскам і разьнесьлі яе ўшчэнт.
Settlements.Settlement.text.town_NS1	Морглум, правадыр племя Шыяломаў, абраў гэтае месца для лягеру праз блізкасьць прэсных горных крыніцаў, вышыню, зь якой зручна сачыць за дарогамі, і самі блізкія дарогі: тут ён можа акружыць караваны, не дазволіўшы ім уцячы ці зрэагаваць. Месца выбранае вельмі разумна, таму, відаць, ідэя была ня ягоная.
Settlements.Settlement.text.village_NS1_1	Хазад Хефаз — старажытная малая дварфская капальня, чые запасы вычарпаліся некалькі стагодзьдзяў таму. Аднак выкапаныя дварфамі пячоры выдатна падыходзяць для іншых агідных істотаў.
Settlements.Settlement.text.village_NS1_2	Уздоўж перавалу Зімовыя Зубы стаіць невысокі скальны выступ: з аднаго боку на яго вядзе пакаты ўздым, зь іншага — доўгі абрыў. Праз вострую форму яго назвалі Зімовым Іклом. Падарожнікі й разбойнікі часта разьбіваюць тут лягер, бо месца малое й яго лёгка бараніць.
Settlements.Settlement.text.castle_NS1	Грунг Бырн — горная застава на перавале Мандыдзье, які зьвязвае паўднёвы Вісэнлянд з Брэтоніяй уздоўж паўднёвай мяжы Атэль Лорэну. Як і ў многіх стратэгічных мясьцінах, тут калісьці быў вартавы пост, цяпер заняты оркамі клану Шыяломаў.
Settlements.Settlement.text.castle_village_NS1_1	На мяжы паўднёва-заходняй Імперыі й паўднёва-ўсходняй Брэтоніі, сярод гораў уздоўж лесу Атэль Лорэн, праходзіць перавал Мандыдзье. Тут дарога разгаліноўваецца й пачынаецца шлях праз перавал Брэнхайн, які перасякае Сховішчы да Кампагроты ў Тыліі. Калісьці дварфскія капальні рабілі гэты шлях багатым. Цяпер ён пакінуты, і нават найшалёнейшыя не адважацца ім прайсьці.
Settlements.Settlement.text.town_CE1	Карак-Варн быў дварфскаю крэпасьцю, чыя назва азначае «Затопленая Скала», хоць людзі ведаюць яго як Крагмір. Калісьці ён быў найбагацейшым і найзаможнейшым селішчам Каразу Анкору. Дварфы капалі ўсё глыбей, прагнучы незьлічоных жылаў громрылу. Але землятрусы Часоў Ліха стварылі расколіны, празь якія возера Чорная Вада затапіла капальні, залы й скарбніцы. Яны таксама адкрылі шлях паганым істотам — оркам і гоблінам. Дварфскія кланы трымаліся пэўны час, але ўрэшце пакінулі крэпасьць ці загінулі ад рук захопнікаў. Зялёнаскурыя натрапілі на спусьцелую цьвярдыню й цяпер валодаюць Крагмірам, аднак большасьць застаецца на верхніх ярусах: ніжнія залы лічацца праклятымі. Нешматлікіх менш забабонных оркаў, што спускаюцца глыбей, больш ніхто ня бачыць.
Settlements.Settlement.text.village_CE1_1	Стары порт, празь які дварфы Карак-Варну некалі вазілі тавары ў Жуфбар, цяпер занепадае. Непадалёк ад гавані загінуў вярхоўны кароль дварфаў Альрык. Вада поўная дзіўнай рыбы.
Settlements.Settlement.text.village_CE1_2	Разбураны ўваход у праход, цяпер у руках зялёнаскурых. Навакольле багатае глінаю, якую тут здабывалі ў мінулым.
Settlements.Settlement.text.village_CE1_3	Старое месца здабычы руды. У капальнях яшчэ ёсьць жалезныя жылы, але ўжо няшмат.
Settlements.Settlement.text.town_CE2	Востраў Ікла — астраўная цьвярдыня ў Лесе Гуляў. Калісьці тут кішэла нежыць, але зялёнаскурыя выгналі й зьнішчылі яе. Цяпер Востраў Ікла — дом племя Крывога Вока.
Settlements.Settlement.text.village_CE2_1	Лес Гуляў калісьці быў поўны жахлівых істотаў; тут жыў магутны кароль-стрыгой. Большасьць гэтых пачвараў зьнішчылі, але некаторыя яшчэ хаваюцца ў цёмных лясных ценях.
Settlements.Settlement.text.village_CE2_2	Узгоркі Фэнанхюгелю даюць добрую перавагу перад ворагамі, што набліжаюцца. Тут таксама шмат лесу й жывёлы.
Settlements.Settlement.text.village_CE2_3	Старая вёска, дзе, кажуць, жыве здань. Мала хто адважваецца ўвайсьці. Навокал яшчэ шмат драўніны й жывёлы; побач разьбіты орчы лягер.
Settlements.Settlement.text.castle_CE1	Глыбокая пячора, дзе нібыта ляжыць громрылавая сякера ў схаванай скарбніцы, якую могуць знайсьці толькі дварфы. Старая цьвярдыня-капальня загінула разам з Карак-Варнам. Перад яе брамаю вярхоўны кароль Альрык загінуў у бітве з гоблінскім вайскаводам Горкілам Вырывальнікам Вачэй.
Settlements.Settlement.text.castle_village_CE1_1	Кволая паветка, збудаваная гоблінамі. У навакольлі амаль нічога не адбываецца; побач ёсьць малое салёнае возера.
Settlements.Settlement.text.castle_CE2	Кажуць, яшчэ сьмяротным Сігмар заключыў саюз з племенем брыгрундаў, забіўшы Скаранорака, аднаго зь першародных драконаў-ограў. Храм утрымлівае капітула адданых сьвятароў на чале зь вярхоўным капітулярам Марабаўдам. Штогод пілігрымы ідуць Жуфбарскаю дарогаю ў Шрамлебен, а адтуль уверх па Блакітнай Мяжы ў Сігмарынген, дзе стаіць храм Скаранорака. Сігмарыты вераць, што тут некалі была страчаная сталіца старажытных брыгрундаў Сігурдхайм; храм пазначае пачатак уласна пілігрымкі. Ад Сігмарынгену вернікі ідуць сушаю ў горы, добра ўтаптанаю сьцежкаю да вяршыняў. Апошняя зь іх нібыта і ёсьць месцам, дзе Сігмар забіў дракона-огра. У храме ахоўваюць васьміфутавы камень, які тутэйшыя сьвятары называюць кіпцюром пачвары, блаславёным сьвятою крывёю Сігмара.
Settlements.Settlement.text.castle_village_CE2_1	Страчаная капальня Хазід Алдум забытая, але яшчэ багатая скарбамі. Тут можна знайсьці шмат срэбра й жалеза.
Settlements.Settlement.text.castle_village_CE2_2	Орчы лягер для паляваньня на жывёлу дзеля скураў і засадаў на караваны.
Settlements.Settlement.text.town_BS1	Калісьці тут была дварфская цьвярдыня, вядомая велізарнаю статуяй бога Грунгні. Але калі ВАААГХ Грома Пузана пракаціўся гэтымі землямі, захопнікі ўварваліся ў сьвятыя залы, апаганілі магілы продкаў і замянілі слаўную статую Грунгні большай і круглейшай статуяй самога Грома. Разгневаныя дварфы пайшлі ў бой, каб адпомсьціць за крыўду, але, нягледзячы на ўсе намаганьні, пакуль не дасягнулі посьпеху.
Settlements.Settlement.text.village_BS1_1	У 2410 годзе імперскага летазьлічэньня, калі ВАААГХ Грома Пузана спусташаў дварфскія землі, кароль Брагарык сустрэўся тут з магутным круглым гоблінам і ягоным войскам. Пасьля трох дзён няспыннай бітвы відавочнага пераможцы не было, і абодва войскі адступілі. Дварфы палічылі гэта паразаю: крыўда засталася неадпомшчанай. Яны ўпісалі ў запіс пра яе імя чалавечага імпэратара Дзітэра Чацьвертага, абвінаваціўшы яго ў баязьлівасьці за адмову змагацца поруч зь імі. З падтрымкаю Імперыі вынік мог быць іншым.
Settlements.Settlement.text.village_BS1_2	Пік Рабра — даліна ў цэнтральнай частцы Гораў Краю Сьвету, якая зьвязвае Імперыю з Воўчымі Землямі. Тут было шмат дварфскіх цьвярдыняў, разрабаваных і апаганеных Громам Пузанам. Гэта выклікала гнеў дварфаў, які не суцішыўся дагэтуль.
Settlements.Settlement.text.town_BS2	Калісьці гэта была адна са шматлікіх дварфскіх крэпасьцяў, што панавалі над краявідам Гораў Краю Сьвету. Але пасьля захопу гэтай часткі гораў і цьвярдыняў гоблінамі вялікая частка зьвязанай зь імі гісторыі страчаная назаўжды.
Settlements.Settlement.text.village_BS2_2	У мінулым на гэтай заставе часта сустракаліся імперскія купцы й даві. Дварфы мянялі зброю, тэхналёгіі й мінэралы на ежу ды прыпасы, якія імперцы прывозілі зь іншых краёў. Пасьля спусташэньня гэтых земляў зялёнаскурымі стагодзьдзе таму месца пакінулі, але будынкі ацалелі й служаць зручным пунктам збору гоблінскіх рабаўнікоў.
Settlements.Settlement.text.castle_BS1	Гунбад на ўсходніх схілах Гораў Краю Сьвету калісьці быў другой найбагацейшай капальняю ўсіх дварфскіх гаспадарстваў. Ягонае золата было настолькі важнае, што Гунбад вызвалілі ад адпраўкі ваяроў на любую вайну, каб здабыча не зьніжалася. Але вялікае ўварваньне зялёнаскурых урэшце яго зьнішчыла. Дзьвесьце гадоў таму Лягазор Ясная Сякера вярнуў капальні дварфам, аднак пакінуў Гару Гунбад адасобленай і акружанай плямёнамі зялёнаскурых. Дварфы ўтрымліваюць ключавыя часткі цьвярдыні, але ім не стае сілаў працаваць у капальні ці вярнуць руднікі на ўсходзе й поўначы Гораў Краю Сьвету.
